customer_reference_id,item_purchased,purchase_amount,date_purchase,review_rating,payment_method,item_purchased_encoded,payment_method_encoded,purchase_month,purchase_weekday,purchase_day,avg_spend_per_customer
3995,Bowtie,30.0,2022-11-23,4.1,Cash,5,0,11,2,23,101.88
4072,Poncho,170.0,2022-10-15,3.6,Credit Card,27,1,10,5,15,111.31
4093,Trousers,102.0,2023-05-25,2.1,Cash,45,0,5,3,25,100.29
4031,Blouse,190.0,2023-01-14,3.0,Cash,3,0,1,5,14,132.19
4114,Leggings,84.0,2023-06-15,3.8,Cash,20,0,6,3,15,89.93
4104,Backpack,69.0,2023-05-27,2.1,Cash,0,0,5,5,27,123.0
4071,Tunic,107.0,2022-12-03,1.5,Cash,46,0,12,5,3,128.36
4007,Dress,172.0,2023-04-05,1.9,Cash,9,0,4,2,5,106.5
4009,Flannel Shirt,51.0,2023-04-16,1.8,Cash,10,0,4,6,16,75.8
4038,Tie,63.0,2023-02-13,4.3,Cash,43,0,2,0,13,90.5
4033,Backpack,189.0,2023-08-31,4.9,Cash,0,0,8,3,31,127.31
4102,Cardigan,175.0,2023-06-05,3.6,Credit Card,7,1,6,0,5,216.11
4068,Jeans,146.0,2023-08-26,1.1,Cash,17,0,8,5,26,95.41
4045,Gloves,51.0,2023-01-27,2.5,Credit Card,12,1,1,4,27,107.46
3979,Camisole,79.0,2023-06-05,1.3,Cash,6,0,6,0,5,111.67
4106,Trousers,173.0,2023-09-07,3.4,Credit Card,45,1,9,3,7,111.06
3959,Trousers,66.0,2022-11-02,4.5,Cash,45,0,11,2,2,107.29
4113,Boots,24.0,2023-01-20,1.2,Credit Card,4,1,1,4,20,119.31
4087,Scarf,18.0,2022-11-21,1.7,Credit Card,31,1,11,0,21,114.33
4060,Polo Shirt,112.0,2023-06-08,1.2,Cash,26,0,6,3,8,296.06
3989,Sweater,64.0,2023-03-13,3.2,Credit Card,39,1,3,0,13,100.5
4032,Wallet,155.0,2023-03-08,1.1,Credit Card,49,1,3,2,8,93.29
3972,Boots,90.0,2023-01-26,4.6,Credit Card,4,1,1,3,26,274.33
4051,Umbrella,137.0,2023-06-30,4.6,Cash,47,0,6,4,30,101.75
4097,Tank Top,174.0,2022-10-10,3.4,Cash,42,0,10,0,10,490.75
3970,Camisole,77.0,2023-01-05,2.4,Cash,6,0,1,3,5,119.56
4100,Loafers,147.0,2023-03-02,3.9,Credit Card,21,1,3,3,2,118.57
4048,Pajamas,159.0,2022-11-08,1.2,Credit Card,24,1,11,1,8,113.87
3985,Flannel Shirt,159.0,2023-03-05,2.6,Cash,10,0,3,6,5,104.89
4029,Leggings,66.0,2023-06-16,3.7,Cash,20,0,6,4,16,84.4
3964,Hat,45.0,2023-03-17,4.8,Cash,14,0,3,4,17,115.93
4017,Bowtie,33.0,2023-09-28,3.3,Credit Card,5,1,9,3,28,238.5
4067,Handbag,38.0,2023-05-25,3.1,Cash,13,0,5,3,25,326.4
4117,Kimono,162.0,2023-04-16,1.1,Cash,19,0,4,6,16,103.58
4060,Sweater,151.0,2023-07-17,3.2,Cash,39,0,7,0,17,296.06
4054,Handbag,12.0,2022-12-29,2.6,Credit Card,13,1,12,3,29,389.5
4068,Pants,39.0,2023-03-21,2.4,Credit Card,25,1,3,1,21,95.41
4096,Scarf,147.0,2023-02-11,4.1,Credit Card,31,1,2,5,11,103.38
4011,Blouse,174.0,2023-04-21,3.4,Cash,3,0,4,4,21,94.75
4001,Hoodie,85.0,2023-09-17,3.3,Cash,15,0,9,6,17,258.11
4078,Hat,126.0,2023-06-29,2.1,Credit Card,14,1,6,3,29,115.24
4005,Sun Hat,194.0,2022-12-16,2.9,Credit Card,37,1,12,4,16,112.33
4099,Scarf,138.0,2023-05-20,2.9,Credit Card,31,1,5,5,20,375.12
4055,Boots,139.0,2023-01-05,1.9,Credit Card,4,1,1,3,5,315.0
4063,Hoodie,173.0,2023-06-23,2.1,Credit Card,15,1,6,4,23,98.41
3996,Belt,60.0,2023-03-04,2.3,Credit Card,1,1,3,5,4,101.5
3989,Overalls,148.0,2023-05-19,4.1,Credit Card,23,1,5,4,19,100.5
3991,Blazer,145.0,2023-05-03,4.5,Credit Card,2,1,5,2,3,118.5
3959,Coat,163.0,2023-05-09,3.5,Credit Card,8,1,5,1,9,107.29
3975,Camisole,14.0,2023-02-07,3.5,Cash,6,0,2,1,7,90.5
3961,Boots,88.0,2022-10-07,1.2,Cash,4,0,10,4,7,106.13
3993,Belt,71.0,2023-05-18,4.4,Credit Card,1,1,5,3,18,100.45
4081,Hat,30.0,2023-09-01,1.2,Credit Card,14,1,9,4,1,106.95
3991,Boots,27.0,2023-09-16,2.0,Credit Card,4,1,9,5,16,118.5
3978,Blazer,146.0,2023-01-15,3.7,Credit Card,2,1,1,6,15,130.17
3992,Cardigan,42.0,2022-12-14,2.4,Credit Card,7,1,12,2,14,107.63
4121,Sunglasses,150.0,2023-06-03,3.4,Credit Card,38,1,6,5,3,124.38
4073,Handbag,165.0,2023-09-28,3.0,Credit Card,13,1,9,3,28,110.26
4111,Socks,64.0,2023-01-15,2.3,Credit Card,36,1,1,6,15,106.41
4065,Sneakers,196.0,2023-03-24,4.3,Credit Card,35,1,3,4,24,113.95
4116,Onesie,192.0,2023-01-16,3.6,Credit Card,22,1,1,0,16,111.75
4003,Hoodie,181.0,2023-07-09,1.6,Credit Card,15,1,7,6,9,117.21
4073,Swimsuit,122.0,2023-04-25,4.2,Credit Card,40,1,4,1,25,110.26
4087,Vest,125.0,2023-06-02,2.6,Credit Card,48,1,6,4,2,114.33
4098,Coat,96.0,2023-09-21,3.5,Credit Card,8,1,9,3,21,87.07
4055,Bowtie,160.0,2023-04-03,4.6,Cash,5,0,4,0,3,315.0
4014,Trench Coat,25.0,2022-12-05,4.2,Cash,44,0,12,0,5,71.2
4004,Flip-Flops,18.0,2023-01-21,4.1,Credit Card,11,1,1,5,21,104.0
4065,Poncho,28.0,2023-06-29,3.3,Credit Card,27,1,6,3,29,113.95
4111,Belt,81.0,2023-05-10,1.9,Credit Card,1,1,5,2,10,106.41
3958,Tunic,64.0,2023-06-17,1.1,Cash,46,0,6,5,17,75.62
4104,Pants,195.0,2023-06-02,2.5,Cash,25,0,6,4,2,123.0
4084,Onesie,156.0,2023-08-08,1.3,Credit Card,22,1,8,1,8,105.1
4085,Tunic,114.0,2023-04-28,1.9,Credit Card,46,1,4,4,28,95.08
4096,Hoodie,118.0,2022-10-17,4.4,Cash,15,0,10,0,17,103.38
4104,Tunic,196.0,2023-02-13,1.2,Cash,46,0,2,0,13,123.0
3965,Loafers,175.0,2023-06-26,2.1,Cash,21,0,6,0,26,103.73
4102,Pants,96.0,2023-07-31,2.0,Credit Card,25,1,7,0,31,216.11
4080,Sun Hat,37.0,2023-09-14,2.4,Cash,37,0,9,3,14,345.67
4051,Camisole,58.0,2023-01-29,4.0,Cash,6,0,1,6,29,101.75
3985,Hat,45.0,2022-12-31,2.0,Credit Card,14,1,12,5,31,104.89
4105,Sandals,81.0,2022-10-31,4.5,Credit Card,30,1,10,0,31,83.22
4080,Pajamas,29.0,2023-09-22,2.4,Credit Card,24,1,9,4,22,345.67
3977,Overalls,150.0,2023-03-22,4.7,Cash,23,0,3,2,22,73.21
4091,Overalls,148.0,2023-01-30,2.7,Cash,23,0,1,0,30,117.92
4028,Cardigan,33.0,2023-02-11,4.3,Credit Card,7,1,2,5,11,80.44
4076,Pajamas,70.0,2022-10-05,3.2,Credit Card,24,1,10,2,5,80.7
3977,Loafers,64.0,2022-10-15,1.6,Cash,21,0,10,5,15,73.21
4090,Onesie,25.0,2023-09-18,2.1,Cash,22,0,9,0,18,102.06
4019,Blouse,126.0,2022-12-15,3.5,Credit Card,3,1,12,3,15,316.3
4077,Romper,188.0,2023-06-01,4.6,Credit Card,29,1,6,3,1,128.89
4118,Onesie,152.0,2023-01-12,1.1,Credit Card,22,1,1,3,12,97.59
3976,Socks,134.0,2023-07-24,2.1,Credit Card,36,1,7,0,24,389.67
4095,Socks,24.0,2022-11-13,1.5,Cash,36,0,11,6,13,94.06
4113,Trench Coat,22.0,2023-05-20,1.5,Cash,44,0,5,5,20,119.31
3970,Camisole,138.0,2023-05-09,4.7,Cash,6,0,5,1,9,119.56
4044,Camisole,145.0,2023-02-10,2.4,Cash,6,0,2,4,10,485.83
3959,Kimono,30.0,2023-03-11,1.5,Cash,19,0,3,5,11,107.29
4077,Vest,27.0,2023-01-08,4.6,Credit Card,48,1,1,6,8,128.89
4073,Tie,182.0,2023-09-16,3.5,Cash,43,0,9,5,16,110.26
4088,Vest,113.0,2023-09-02,1.2,Credit Card,48,1,9,5,2,108.27
4103,Swimsuit,73.0,2023-04-30,2.6,Cash,40,0,4,6,30,100.53
4041,Pajamas,20.0,2023-05-20,4.3,Cash,24,0,5,5,20,71.67
4064,Kimono,117.0,2022-10-31,2.9,Cash,19,0,10,0,31,115.62
4047,Blazer,154.0,2023-06-01,1.7,Cash,2,0,6,3,1,113.0
4032,Backpack,76.0,2023-06-15,4.7,Cash,0,0,6,3,15,93.29
4031,Slippers,193.0,2023-08-02,1.3,Credit Card,34,1,8,2,2,132.19
3999,Jacket,77.0,2023-05-27,3.4,Credit Card,16,1,5,5,27,93.65
3966,Tie,181.0,2023-06-14,3.6,Credit Card,43,1,6,2,14,121.55
4109,Dress,127.0,2023-09-30,2.8,Cash,9,0,9,5,30,629.89
4034,Shorts,28.0,2023-03-24,3.4,Cash,32,0,3,4,24,117.75
4023,Sunglasses,154.0,2023-02-09,2.4,Credit Card,38,1,2,3,9,114.76
3972,Coat,28.0,2022-12-22,4.6,Credit Card,8,1,12,3,22,274.33
4118,Socks,139.0,2023-05-13,4.4,Credit Card,36,1,5,5,13,97.59
4078,Tunic,99.0,2022-11-10,2.3,Cash,46,0,11,3,10,115.24
4105,Belt,72.0,2023-07-29,1.7,Credit Card,1,1,7,5,29,83.22
4000,Sandals,50.0,2023-09-27,4.3,Cash,30,0,9,2,27,83.94
4103,Jumpsuit,149.0,2022-10-16,5.0,Cash,18,0,10,6,16,100.53
3970,Tunic,166.0,2023-02-02,3.1,Credit Card,46,1,2,3,2,119.56
4031,Camisole,177.0,2023-06-28,3.5,Cash,6,0,6,2,28,132.19
3963,Trench Coat,86.0,2022-12-16,1.5,Cash,44,0,12,4,16,108.08
4030,Romper,36.0,2023-01-02,2.8,Credit Card,29,1,1,0,2,112.36
4081,Kimono,44.0,2023-06-03,2.2,Credit Card,19,1,6,5,3,106.95
3978,Handbag,37.0,2023-01-17,5.0,Cash,13,0,1,1,17,130.17
3989,Tank Top,49.0,2023-04-26,4.7,Credit Card,42,1,4,2,26,100.5
4086,Swimsuit,164.0,2022-12-07,1.6,Cash,40,0,12,2,7,102.83
3976,Tank Top,97.0,2023-05-23,4.4,Cash,42,0,5,1,23,389.67
4028,Sweater,172.0,2023-01-15,1.1,Credit Card,39,1,1,6,15,80.44
4021,Backpack,139.0,2023-01-02,4.8,Cash,0,0,1,0,2,102.08
3990,Pajamas,23.0,2022-11-01,4.2,Credit Card,24,1,11,1,1,106.69
4028,Poncho,80.0,2022-12-31,1.1,Cash,27,0,12,5,31,80.44
4022,Boots,43.0,2023-08-27,3.9,Cash,4,0,8,6,27,115.6
3960,Onesie,77.0,2022-12-16,4.3,Cash,22,0,12,4,16,97.08
4111,Swimsuit,190.0,2022-11-23,4.4,Credit Card,40,1,11,2,23,106.41
4001,Handbag,12.0,2022-11-25,2.7,Cash,13,0,11,4,25,258.11
3995,Umbrella,186.0,2023-05-27,3.9,Cash,47,0,5,5,27,101.88
4071,Jeans,149.0,2023-04-09,2.4,Cash,17,0,4,6,9,128.36
4001,Wallet,151.0,2023-06-09,3.9,Cash,49,0,6,4,9,258.11
4081,Sandals,20.0,2022-12-02,4.1,Cash,30,0,12,4,2,106.95
4003,Loafers,63.0,2023-06-10,2.3,Credit Card,21,1,6,5,10,117.21
4092,Overalls,180.0,2022-11-25,2.7,Cash,23,0,11,4,25,127.43
4044,Pants,114.0,2022-12-25,4.4,Credit Card,25,1,12,6,25,485.83
3978,Sandals,49.0,2022-10-31,4.5,Cash,30,0,10,0,31,130.17
4109,Loafers,55.0,2022-12-21,1.0,Credit Card,21,1,12,2,21,629.89
3996,Slippers,16.0,2023-08-13,2.5,Credit Card,34,1,8,6,13,101.5
4062,Coat,115.0,2023-04-10,1.6,Credit Card,8,1,4,0,10,85.07
4055,T-shirt,198.0,2022-11-29,3.9,Credit Card,41,1,11,1,29,315.0
4017,Shorts,78.0,2023-02-26,1.8,Credit Card,32,1,2,6,26,238.5
4120,Hoodie,107.0,2023-07-11,4.0,Cash,15,0,7,1,11,110.88
4104,Pajamas,68.0,2023-07-12,1.8,Cash,24,0,7,2,12,123.0
4045,Vest,178.0,2023-01-29,2.7,Credit Card,48,1,1,6,29,107.46
4121,Slippers,27.0,2023-04-11,3.6,Credit Card,34,1,4,1,11,124.38
4024,Hoodie,81.0,2022-12-30,3.6,Credit Card,15,1,12,4,30,98.21
3986,Flannel Shirt,140.0,2022-11-24,2.2,Cash,10,0,11,3,24,328.22
3970,Socks,147.0,2023-05-07,2.2,Credit Card,36,1,5,6,7,119.56
3999,Belt,17.0,2023-07-25,4.2,Credit Card,1,1,7,1,25,93.65
4059,Belt,55.0,2023-01-16,1.4,Cash,1,0,1,0,16,97.87
4078,Sandals,77.0,2023-07-28,4.5,Cash,30,0,7,4,28,115.24
4078,Blazer,98.0,2023-01-05,2.3,Credit Card,2,1,1,3,5,115.24
4093,Trench Coat,90.0,2022-10-17,1.5,Cash,44,0,10,0,17,100.29
4016,Polo Shirt,140.0,2023-01-02,2.3,Cash,26,0,1,0,2,85.77
4056,Pajamas,58.0,2023-07-20,4.1,Cash,24,0,7,3,20,101.13
4078,Slippers,191.0,2023-07-10,4.2,Credit Card,34,1,7,0,10,115.24
4024,Blazer,143.0,2022-10-09,2.6,Credit Card,2,1,10,6,9,98.21
3994,Camisole,147.0,2022-11-19,2.2,Cash,6,0,11,5,19,112.16
4092,Tie,199.0,2023-02-15,4.6,Cash,43,0,2,2,15,127.43
4068,Tunic,60.0,2023-01-04,1.2,Cash,46,0,1,2,4,95.41
3960,Camisole,27.0,2023-09-14,2.0,Credit Card,6,1,9,3,14,97.08
4030,Hoodie,94.0,2023-04-23,2.6,Credit Card,15,1,4,6,23,112.36
4071,Skirt,179.0,2023-02-16,2.6,Credit Card,33,1,2,3,16,128.36
4054,Handbag,194.0,2023-06-12,2.1,Credit Card,13,1,6,0,12,389.5
4037,Sunglasses,139.0,2022-11-10,2.4,Cash,38,0,11,3,10,125.0
4092,Jumpsuit,114.0,2022-11-02,2.2,Credit Card,18,1,11,2,2,127.43
3967,Raincoat,188.0,2023-05-06,3.3,Cash,28,0,5,5,6,108.39
3981,Pants,42.0,2023-07-08,1.8,Credit Card,25,1,7,5,8,392.0
4120,Poncho,107.0,2022-11-07,2.3,Cash,27,0,11,0,7,110.88
4047,Scarf,54.0,2023-05-20,1.1,Credit Card,31,1,5,5,20,113.0
4067,Poncho,87.0,2023-05-27,4.2,Credit Card,27,1,5,5,27,326.4
4026,Tank Top,63.0,2023-01-20,4.6,Cash,42,0,1,4,20,98.93
4042,Blazer,158.0,2022-11-12,3.2,Cash,2,0,11,5,12,111.32
4026,T-shirt,92.0,2023-04-24,3.1,Credit Card,41,1,4,0,24,98.93
4025,Coat,123.0,2023-01-09,1.8,Cash,8,0,1,0,9,129.0
3982,Kimono,140.0,2023-05-18,3.1,Credit Card,19,1,5,3,18,137.67
4022,T-shirt,198.0,2022-10-22,1.9,Cash,41,0,10,5,22,115.6
4075,Jumpsuit,172.0,2022-10-07,4.8,Credit Card,18,1,10,4,7,307.26
4006,Flannel Shirt,67.0,2023-07-27,1.4,Cash,10,0,7,3,27,99.22
4090,Tie,47.0,2023-01-11,2.9,Cash,43,0,1,2,11,102.06
4003,Cardigan,131.0,2023-01-04,4.1,Credit Card,7,1,1,2,4,117.21
4037,Camisole,28.0,2023-05-01,2.1,Cash,6,0,5,0,1,125.0
4097,Belt,171.0,2023-05-24,4.1,Cash,1,0,5,2,24,490.75
3959,Coat,193.0,2023-01-03,1.5,Credit Card,8,1,1,1,3,107.29
3959,Hat,136.0,2023-02-08,2.1,Credit Card,14,1,2,2,8,107.29
4062,Romper,37.0,2023-07-24,4.0,Cash,29,0,7,0,24,85.07
3982,Blouse,66.0,2023-01-24,1.1,Cash,3,0,1,1,24,137.67
3983,Kimono,142.0,2023-05-15,3.9,Credit Card,19,1,5,0,15,96.92
4071,Hat,152.0,2022-12-22,1.8,Credit Card,14,1,12,3,22,128.36
4046,Trench Coat,41.0,2023-07-17,2.2,Credit Card,44,1,7,0,17,116.0
4013,Shorts,128.0,2023-02-21,3.0,Cash,32,0,2,1,21,88.93
4021,Sunglasses,123.0,2023-05-11,1.8,Cash,38,0,5,3,11,102.08
4006,Scarf,194.0,2023-02-02,3.6,Cash,31,0,2,3,2,99.22
3965,Hat,119.0,2023-07-13,2.2,Cash,14,0,7,3,13,103.73
4115,Sweater,50.0,2023-07-05,3.2,Cash,39,0,7,2,5,242.44
3980,Poncho,131.0,2023-01-23,4.6,Credit Card,27,1,1,0,23,250.75
3971,Hat,73.0,2023-07-17,2.0,Credit Card,14,1,7,0,17,101.82
4012,Socks,143.0,2023-04-23,2.6,Cash,36,0,4,6,23,312.0
4110,Sandals,71.0,2023-03-17,3.2,Cash,30,0,3,4,17,219.05
4120,Tie,29.0,2023-02-12,1.9,Credit Card,43,1,2,6,12,110.88
3988,Bowtie,70.0,2022-11-02,2.6,Credit Card,5,1,11,2,2,115.53
3987,Handbag,91.0,2022-12-21,2.5,Cash,13,0,12,2,21,112.31
3979,Flip-Flops,30.0,2023-03-30,3.6,Cash,11,0,3,3,30,111.67
3990,Handbag,187.0,2023-08-11,1.4,Credit Card,13,1,8,4,11,106.69
4122,Hoodie,116.0,2023-03-17,2.0,Cash,15,0,3,4,17,105.42
4101,Cardigan,148.0,2022-11-26,3.5,Credit Card,7,1,11,5,26,122.29
4004,Hoodie,25.0,2023-09-24,3.9,Credit Card,15,1,9,6,24,104.0
3985,Pajamas,117.0,2023-08-07,1.9,Cash,24,0,8,0,7,104.89
4004,Shorts,159.0,2023-01-22,2.0,Cash,32,0,1,6,22,104.0
4021,Sneakers,15.0,2023-08-07,2.4,Credit Card,35,1,8,0,7,102.08
4032,Jacket,157.0,2023-01-25,2.3,Credit Card,16,1,1,2,25,93.29
4076,Trousers,11.0,2022-12-06,2.6,Credit Card,45,1,12,1,6,80.7
4120,Slippers,117.0,2023-09-25,4.0,Credit Card,34,1,9,0,25,110.88
4073,Boots,198.0,2022-12-21,3.2,Cash,4,0,12,2,21,110.26
4027,Onesie,164.0,2023-06-11,3.6,Cash,22,0,6,6,11,103.2
4066,Kimono,134.0,2023-01-02,3.8,Credit Card,19,1,1,0,2,107.6
4039,Umbrella,121.0,2023-07-05,4.4,Cash,47,0,7,2,5,109.3
4022,Tunic,109.0,2022-11-15,1.3,Credit Card,46,1,11,1,15,115.6
3998,Skirt,183.0,2022-12-22,3.8,Credit Card,33,1,12,3,22,123.71
3975,T-shirt,195.0,2023-07-22,4.0,Cash,41,0,7,5,22,90.5
3972,Sneakers,42.0,2023-04-18,2.8,Credit Card,35,1,4,1,18,274.33
4054,Tunic,146.0,2023-01-23,1.2,Credit Card,46,1,1,0,23,389.5
4042,Wallet,154.0,2023-08-31,2.9,Credit Card,49,1,8,3,31,111.32
3972,Slippers,31.0,2022-10-26,3.2,Credit Card,34,1,10,2,26,274.33
4023,Dress,44.0,2023-03-03,2.2,Cash,9,0,3,4,3,114.76
4024,Skirt,56.0,2023-07-17,2.2,Credit Card,33,1,7,0,17,98.21
4069,Flannel Shirt,64.0,2022-11-01,3.5,Cash,10,0,11,1,1,68.14
3974,T-shirt,96.0,2022-12-05,3.6,Credit Card,41,1,12,0,5,237.2
4082,Pajamas,107.0,2023-05-10,3.1,Cash,24,0,5,2,10,124.9
4008,Loafers,117.0,2023-05-04,3.5,Credit Card,21,1,5,3,4,98.45
4113,Flannel Shirt,30.0,2023-05-21,3.1,Credit Card,10,1,5,6,21,119.31
4057,Tunic,148.0,2023-04-22,2.9,Cash,46,0,4,5,22,96.13
4122,Kimono,67.0,2023-03-20,4.4,Cash,19,0,3,0,20,105.42
4082,Onesie,176.0,2022-12-28,3.1,Credit Card,22,1,12,2,28,124.9
4067,Belt,71.0,2023-08-27,2.2,Credit Card,1,1,8,6,27,326.4
4114,Swimsuit,154.0,2023-04-02,2.3,Credit Card,40,1,4,6,2,89.93
3984,Trousers,104.0,2023-07-30,1.6,Cash,45,0,7,6,30,451.93
4023,Boots,193.0,2023-02-14,3.5,Credit Card,4,1,2,1,14,114.76
3965,Wallet,89.0,2023-08-18,4.5,Cash,49,0,8,4,18,103.73
4103,Flip-Flops,183.0,2022-10-13,3.2,Cash,11,0,10,3,13,100.53
4021,Sweater,106.0,2023-05-21,1.3,Cash,39,0,5,6,21,102.08
4071,Raincoat,193.0,2022-10-02,3.9,Credit Card,28,1,10,6,2,128.36
4084,Skirt,170.0,2023-07-08,4.2,Cash,33,0,7,5,8,105.1
3995,T-shirt,188.0,2023-05-12,4.1,Cash,41,0,5,4,12,101.88
4120,Overalls,185.0,2023-03-05,4.1,Credit Card,23,1,3,6,5,110.88
3957,Tank Top,40.0,2022-10-03,2.1,Cash,42,0,10,0,3,97.8
3966,Vest,154.0,2023-05-04,4.5,Cash,48,0,5,3,4,121.55
4056,Camisole,98.0,2023-06-12,2.9,Credit Card,6,1,6,0,12,101.13
4025,Blouse,179.0,2023-04-06,4.1,Cash,3,0,4,3,6,129.0
3995,Jeans,139.0,2023-05-01,1.4,Cash,17,0,5,0,1,101.88
4041,Loafers,13.0,2022-10-13,1.6,Cash,21,0,10,3,13,71.67
4057,Shorts,135.0,2022-12-27,4.5,Credit Card,32,1,12,1,27,96.13
4088,Tank Top,127.0,2022-10-07,2.8,Credit Card,42,1,10,4,7,108.27
4082,Tunic,121.0,2023-09-07,2.3,Cash,46,0,9,3,7,124.9
4068,Swimsuit,176.0,2023-07-18,2.5,Cash,40,0,7,1,18,95.41
4060,Bowtie,147.0,2022-12-28,2.9,Credit Card,5,1,12,2,28,296.06
3974,Flip-Flops,129.0,2023-08-02,3.1,Credit Card,11,1,8,2,2,237.2
4095,Umbrella,197.0,2022-10-25,4.5,Credit Card,47,1,10,1,25,94.06
4014,Wallet,92.0,2022-12-25,4.8,Credit Card,49,1,12,6,25,71.2
3957,Onesie,32.0,2023-01-05,4.3,Cash,22,0,1,3,5,97.8
4055,Trench Coat,125.0,2022-11-10,4.4,Cash,44,0,11,3,10,315.0
4080,Tie,128.0,2023-04-10,3.0,Credit Card,43,1,4,0,10,345.67
3988,Wallet,181.0,2023-03-04,3.7,Credit Card,49,1,3,5,4,115.53
4102,Socks,17.0,2023-01-31,2.7,Cash,36,0,1,1,31,216.11
4094,T-shirt,93.0,2023-08-15,1.1,Cash,41,0,8,1,15,111.13
4042,Leggings,76.0,2023-02-22,3.9,Credit Card,20,1,2,2,22,111.32
4034,Jeans,162.0,2023-02-11,3.2,Credit Card,17,1,2,5,11,117.75
4059,Handbag,80.0,2023-07-06,4.8,Cash,13,0,7,3,6,97.87
3971,Swimsuit,142.0,2023-07-22,1.7,Cash,40,0,7,5,22,101.82
4118,Dress,31.0,2022-10-19,1.0,Credit Card,9,1,10,2,19,97.59
4122,Poncho,114.0,2023-07-28,3.1,Cash,27,0,7,4,28,105.42
4050,Umbrella,175.0,2022-12-29,1.4,Cash,47,0,12,3,29,101.67
4093,Bowtie,124.0,2022-12-21,2.0,Credit Card,5,1,12,2,21,100.29
4044,Gloves,33.0,2023-03-29,3.4,Cash,12,0,3,2,29,485.83
4074,Kimono,88.0,2023-02-05,2.9,Cash,19,0,2,6,5,99.89
4122,Poncho,145.0,2022-12-29,2.0,Cash,27,0,12,3,29,105.42
4008,Flip-Flops,200.0,2022-10-05,4.9,Cash,11,0,10,2,5,98.45
4002,Hoodie,100.0,2022-12-26,4.5,Cash,15,0,12,0,26,287.27
4098,Raincoat,79.0,2023-02-04,5.0,Credit Card,28,1,2,5,4,87.07
3967,Belt,69.0,2023-04-03,3.0,Cash,1,0,4,0,3,108.39
4118,Pajamas,133.0,2023-03-20,4.5,Credit Card,24,1,3,0,20,97.59
